% 1. Title : data/puppet.train.1yr.comment
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-12-05
@RELATION BUGGY
@ATTRIBUTE Kincaid numeric
@ATTRIBUTE Diction numeric
@ATTRIBUTE Queequeg numeric
@ATTRIBUTE classification {clean,buggy}

@DATA
3.6,1,1,clean
3.3,2,2,clean
2.2,2,6,clean
-0.1,1,1,clean
13.0,1,2,buggy
14.9,0,3,buggy
4.0,1,1,clean
4.6,0,2,buggy
3.4,3,1,clean
-2.2,0,1,clean
4.1,4,3,clean
-0.7,0,1,buggy
-0.7,0,1,clean
0.5,0,1,clean
0.5,0,1,clean
3.7,1,3,buggy
4.4,2,1,clean
2.8,0,1,buggy
3.6,1,2,buggy
6.4,0,1,clean
4.0,1,2,buggy
2.6,1,2,clean
3.2,2,3,clean
3.1,1,4,clean
-1.4,0,1,clean
1.2,1,3,clean
10.1,1,2,clean
1.7,0,1,buggy
1.7,0,2,buggy
8.2,4,2,clean
4.0,1,2,clean
5.2,4,2,clean
5.6,0,1,buggy
5.6,0,1,clean
7.1,1,2,clean
3.6,1,1,clean
3.4,3,1,clean
1.9,0,2,clean
2.4,4,6,clean
2.7,2,2,buggy
5.4,1,1,buggy
-0.7,0,1,clean
-0.7,0,1,clean
7.5,0,3,clean
3.6,1,3,clean
-1.8,0,1,buggy
5.1,2,4,clean
-0.7,0,1,clean
2.1,0,1,buggy
2.4,3,2,buggy
2.1,1,2,clean
3.0,0,2,buggy
9.7,1,4,clean
-0.7,0,1,buggy
2.6,0,1,clean
2.8,2,1,clean
2.7,1,2,clean
2.3,1,4,clean
2.7,1,2,clean
0.7,0,1,clean
0.5,1,1,buggy
1.9,1,2,buggy
0.4,2,2,clean
1.5,0,1,buggy
7.5,2,3,clean
-1.8,0,1,clean
4.8,3,3,clean
6.9,3,3,clean
3.7,3,4,clean
9.9,1,3,clean
3.4,2,1,clean
6.4,1,3,clean
3.5,3,2,clean
-0.3,0,1,clean
7.1,0,2,clean
2.4,1,2,clean
6.0,0,1,clean
0.9,1,3,buggy
5.7,2,3,clean
7.1,0,2,clean
6.0,0,2,clean
3.2,5,8,clean
11.4,1,1,clean
4.4,0,1,buggy
1.5,0,3,buggy
-1.1,0,1,clean
4.8,0,1,clean
-0.7,0,1,clean
3.5,2,2,buggy
8.1,1,2,buggy
1.6,2,3,clean
6.3,4,2,clean
11.6,0,3,clean
5.6,1,3,buggy
1.9,2,3,buggy
-2.6,0,1,buggy
3.0,1,1,buggy
4.6,4,4,buggy
6.4,0,1,clean
0.5,0,1,clean
4.0,1,1,clean
-0.9,0,1,buggy
2.8,3,2,buggy
2.1,2,1,clean
2.1,0,3,clean
2.7,1,2,clean
2.0,3,1,clean
2.8,3,4,clean
-0.6,0,2,clean
1.7,4,3,clean
1.0,1,4,clean
-1.4,0,2,clean
-1.0,2,1,clean
2.1,1,2,clean
3.9,2,3,buggy
12.2,0,1,buggy
2.0,0,2,clean
1.3,1,1,clean
1.2,1,1,clean
3.8,1,2,clean
3.9,1,2,clean
9.9,2,1,clean
5.6,2,3,clean
-0.1,0,1,buggy
4.8,1,1,clean
7.5,2,2,clean
6.0,2,1,buggy
3.0,2,1,clean
5.2,1,1,clean
7.1,0,1,clean
4.4,0,1,clean
1.9,0,2,clean
-1.2,0,1,clean
2.3,0,1,clean
2.8,0,2,clean
4.4,1,1,buggy
0.9,0,1,clean
6.2,0,2,buggy
-1.8,0,1,clean
0.9,0,1,clean
2.1,0,1,clean
4.0,1,3,clean
2.1,1,1,clean
5.2,1,1,clean
11.8,1,3,clean
3.0,1,1,clean
1.3,1,1,buggy
5.6,1,2,buggy
4.0,2,1,clean
-0.7,0,1,clean
-0.7,0,1,clean
3.3,4,3,buggy
-1.2,0,1,clean
3.3,4,3,clean
-1.4,0,1,clean
2.6,2,2,clean
3.7,3,4,clean
6.2,3,3,buggy
1.5,3,4,clean
3.6,0,1,buggy
8.3,0,1,clean
-1.8,0,1,clean
0.9,0,1,clean
2.8,3,2,clean
-1.2,0,1,clean
0.2,1,1,clean
4.5,8,7,buggy
3.6,1,2,clean
-0.2,0,1,buggy
2.4,1,1,buggy
1.0,2,1,clean
4.6,1,3,clean
3.2,3,3,clean
3.1,3,2,clean
1.5,2,1,buggy
2.3,3,2,clean
4.8,2,2,clean
7.9,0,2,buggy
1.5,0,2,buggy
2.3,7,10,buggy
1.9,1,1,clean
-1.4,0,1,clean
5.1,5,5,buggy
2.6,1,2,buggy
5.2,1,2,buggy
4.5,0,4,clean
5.6,4,2,buggy
8.7,1,2,clean
1.4,5,3,clean
0.9,3,5,buggy
-1.4,0,1,clean
3.5,3,2,clean
5.8,3,2,buggy
3.2,0,2,clean
2.1,0,1,buggy
1.9,1,1,clean
7.7,2,3,buggy
4.4,2,1,buggy
2.2,0,1,clean
-1.8,0,1,clean
2.6,0,3,buggy
4.4,1,1,clean
3.6,0,1,buggy
4.8,1,2,clean
7.9,1,1,clean
-1.4,0,1,clean
3.6,0,1,clean
0.9,1,3,buggy
1.5,2,2,clean
8.3,1,1,clean
3.2,0,1,clean
-0.5,1,1,clean
-0.3,1,1,buggy
2.4,1,1,clean
-0.6,1,1,clean
-2.4,1,1,clean
6.4,0,2,clean
3.1,2,2,clean
-2.6,0,1,buggy
2.2,0,1,clean
8.3,2,3,clean
7.5,0,2,clean
-0.7,0,1,clean
2.1,2,2,buggy
-0.3,0,1,buggy
1.1,0,1,clean
5.4,6,5,clean
-0.7,2,2,clean
0.8,2,1,buggy
4.7,6,7,buggy
8.1,2,3,clean
1.7,0,1,clean
2.1,0,2,clean
1.3,1,1,clean
-1.4,1,1,clean
0.3,2,2,clean
-0.7,0,1,clean
-0.7,0,1,clean
4.8,2,3,clean
20.8,1,1,clean
-0.2,0,2,clean
6.6,1,4,buggy
-0.7,0,1,buggy
4.0,0,2,buggy
-1.8,0,1,buggy
4.3,2,3,clean
7.9,2,2,clean
0.1,2,3,buggy
0.7,2,2,buggy
-0.7,0,1,buggy
8.7,3,1,clean
1.0,2,3,clean
0.0,0,1,clean
-0.0,0,1,buggy
1.1,1,1,clean
5.8,5,7,clean
3.6,1,1,clean
2.4,0,1,buggy
2.1,0,3,clean
9.9,0,1,buggy
3.0,0,3,clean
6.7,0,1,buggy
-1.1,0,1,buggy
1.7,3,1,clean
-1.8,0,1,buggy
7.3,1,4,buggy
2.1,1,2,clean
11.0,1,2,buggy
-1.8,0,1,clean
3.4,0,1,clean
8.7,1,1,clean
0.1,0,1,buggy
-1.8,0,2,clean
-1.8,0,1,clean
5.6,1,1,clean
-1.8,0,1,clean
-1.1,0,1,clean
4.0,1,1,clean
12.2,0,1,clean
13.0,2,1,clean
18.1,0,1,clean
5.6,2,2,clean
-1.4,0,1,clean
0.9,0,1,clean
-1.8,0,1,clean
0.5,0,2,clean
0.1,0,1,clean
-1.1,0,1,clean
-1.8,0,1,clean
3.6,0,1,clean
2.8,0,1,buggy
14.9,0,2,clean
0.9,3,1,buggy
4.4,3,1,buggy
6.7,0,1,clean
